Date	Friday, May 01, 2009,  12:36:07 PM
SystemName	Pathway
Well	Well D11
Plate	96 Well BD Falcon Imaging [353219]
Brand	BD Falcon
Wells	96
Objective	20X NA 075 Olympus Confocal
Offset	858993459
ZRelativeDisplacement	200.000000
Gain	15
SamplingRate Hz	12000
StartingFocusPosition microns	5401.570000
SearchSpan microns	2000.000000
DataPointsGathered	2000
Algorithm	DoubleThreshold
UseRollingAverageWidth	0
RollingAverageWidth	20
InFocusIndex	940



---DATA TABLE---
Index	Position	Intensity	InFocusPosition	SmoothedData
406	-710	0.178572		
407	-715	0.180677		
408	-719	0.178572		
409	-724	0.181163		
410	-728	0.177439		
411	-733	0.170475		
412	-737	0.182621		
413	-741	0.180515		
414	-746	0.182459		
415	-750	0.181649		
416	-755	0.181325		
417	-760	0.184402		
418	-764	0.182135		
419	-769	0.182135		
420	-774	0.183106		
421	-778	0.180839		
422	-783	0.167722		
423	-787	0.181487		
424	-792	0.182621		
425	-796	0.183106		
426	-801	0.183916		
427	-805	0.184402		
428	-809	0.182621		
429	-814	0.182135		
430	-818	0.182135		
431	-823	0.185050		
432	-827	0.187317		
433	-831	0.185697		
434	-835	0.184078		
435	-840	0.180191		
436	-844	0.180677		
437	-848	0.186669		
438	-853	0.181487		
439	-857	0.183916		
440	-861	0.182621		
441	-865	0.183430		
442	-870	0.185535		
443	-874	0.183592		
444	-879	0.186183		
445	-883	0.182459		
446	-887	0.186021		
447	-892	0.184726		
448	-896	0.186831		
449	-901	0.185859		
450	-905	0.184240		
451	-910	0.188450		
452	-914	0.184240		
453	-918	0.187317		
454	-923	0.188774		
455	-928	0.183268		
456	-933	0.186993		
457	-937	0.188126		
458	-942	0.188450		
459	-947	0.187479		
460	-952	0.187803		
461	-957	0.188612		
462	-962	0.189908		
463	-967	0.188288		
464	-971	0.187317		
465	-977	0.190879		
466	-981	0.188774		
467	-986	0.189584		
468	-992	0.192013		
469	-997	0.192661		
470	-1002	0.197357		
471	-1007	0.193956		
472	-1012	0.193147		
473	-1017	0.189584		
474	-1022	0.190070		
475	-1027	0.192661		
476	-1032	0.188288		
477	-1037	0.191851		
478	-1042	0.190070		
479	-1047	0.189422		
480	-1052	0.191527		
481	-1057	0.205778		
482	-1062	0.197033		
483	-1067	0.194280		
484	-1071	0.194118		
485	-1076	0.192985		
486	-1081	0.193470		
487	-1086	0.192013		
488	-1091	0.198005		
489	-1095	0.193309		
490	-1100	0.194118		
491	-1105	0.192499		
492	-1110	0.195738		
493	-1114	0.191689		
494	-1119	0.191527		
495	-1124	0.192823		
496	-1129	0.193470		
497	-1133	0.195900		
498	-1138	0.194442		
499	-1143	0.195414		
500	-1148	0.194604		
501	-1154	0.196385		
502	-1158	0.195738		
503	-1164	0.197357		
504	-1169	0.193632		
505	-1174	0.195900		
506	-1179	0.196547		
507	-1185	0.198652		
508	-1190	0.196223		
509	-1195	0.197519		
510	-1201	0.199300		
511	-1207	0.199138		
512	-1212	0.199948		
513	-1218	0.183106		
514	-1223	0.198491		
515	-1229	0.200920		
516	-1235	0.191527		
517	-1240	0.200434		
518	-1246	0.205292		
519	-1251	0.199624		
520	-1258	0.199462		
521	-1263	0.202053		
522	-1269	0.199138		
523	-1274	0.199948		
524	-1280	0.201891		
525	-1286	0.201729		
526	-1292	0.201567		
527	-1298	0.203673		
528	-1303	0.200596		
529	-1308	0.201405		
530	-1314	0.203673		
531	-1319	0.203996		
532	-1325	0.206264		
533	-1330	0.203511		
534	-1336	0.204968		
535	-1341	0.203673		
536	-1346	0.203187		
537	-1352	0.206426		
538	-1358	0.209178		
539	-1363	0.204482		
540	-1369	0.209178		
541	-1374	0.208693		
542	-1380	0.192337		
543	-1385	0.215008		
544	-1391	0.205616		
545	-1396	0.206749		
546	-1402	0.205130		
547	-1408	0.208207		
548	-1414	0.206911		
549	-1420	0.208531		
550	-1425	0.206911		
551	-1431	0.206911		
552	-1438	0.202215		
553	-1443	0.205292		
554	-1450	0.209178		
555	-1456	0.209340		
556	-1462	0.208531		
557	-1468	0.207073		
558	-1474	0.208369		
559	-1481	0.210636		
560	-1487	0.211446		
561	-1493	0.205940		
562	-1500	0.207235		
563	-1506	0.208693		
564	-1512	0.208369		
565	-1519	0.194604		
566	-1525	0.226506		
567	-1531	0.210312		
568	-1538	0.211122		
569	-1543	0.211931		
570	-1550	0.211284		
571	-1555	0.210636		
572	-1561	0.213389		
573	-1567	0.213713		
574	-1573	0.213713		
575	-1579	0.214037		
576	-1584	0.215008		
577	-1591	0.223429		
578	-1596	0.214522		
579	-1602	0.211446		
580	-1607	0.215332		
581	-1613	0.214684		
582	-1619	0.215008		
583	-1625	0.216628		
584	-1631	0.218571		
585	-1636	0.214199		
586	-1642	0.218571		
587	-1648	0.217923		
588	-1655	0.209664		
589	-1661	0.220028		
590	-1667	0.222943		
591	-1673	0.217923		
592	-1679	0.217275		
593	-1686	0.221486		
594	-1692	0.220838		
595	-1698	0.221648		
596	-1705	0.221486		
597	-1711	0.221486		
598	-1718	0.218409		
599	-1725	0.220838		
600	-1732	0.227154		
601	-1738	0.222296		
602	-1746	0.205940		
603	-1752	0.220190		
604	-1759	0.221486		
605	-1766	0.222134		
606	-1773	0.219219		
607	-1780	0.220676		
